dia,total_altas
2023-01-01,45
2023-01-02,115
2023-01-03,116
2023-01-04,111
2023-01-05,120
2023-01-06,84
2023-01-07,65
2023-01-08,58
2023-01-09,147
2023-01-10,128
2023-01-11,111
2023-01-12,106
2023-01-13,95
2023-01-14,54
2023-01-15,50
2023-01-16,113
2023-01-17,85
2023-01-18,155
2023-01-19,126
2023-01-20,111
2023-01-21,53
2023-01-22,52
2023-01-23,137
2023-01-24,106
2023-01-25,106
2023-01-26,119
2023-01-27,126
2023-01-28,56
2023-01-29,49
2023-01-30,146
2023-01-31,60
2023-02-01,117
2023-02-02,129
2023-02-03,157
2023-02-04,66
2023-02-05,34
2023-02-06,147
2023-02-07,102
2023-02-08,175
2023-02-09,95
2023-02-10,101
2023-02-11,47
2023-02-12,67
2023-02-13,109
2023-02-14,112
2023-02-15,107
2023-02-16,108
2023-02-17,103
2023-02-18,69
2023-02-19,39
2023-02-20,85
2023-02-21,68
2023-02-22,124
2023-02-23,106
2023-02-24,116
2023-02-25,59
2023-02-26,45
2023-02-27,148
2023-02-28,152
2023-03-01,148
2023-03-02,162
2023-03-03,159
2023-03-04,96
2023-03-05,73
2023-03-06,164
2023-03-07,121
2023-03-08,183
2023-03-09,153
2023-03-10,153
2023-03-11,67
2023-03-12,99
2023-03-13,132
2023-03-14,188
2023-03-15,140
2023-03-16,148
2023-03-17,96
2023-03-18,107
2023-03-19,71
2023-03-20,119
2023-03-21,109
2023-03-22,108
2023-03-23,142
2023-03-24,138
2023-03-25,86
2023-03-26,77
2023-03-27,195
2023-03-28,112
2023-03-29,204
2023-03-30,142
2023-03-31,135
2023-04-01,100
2023-04-02,74
2023-04-03,166
2023-04-04,114
2023-04-05,205
2023-04-06,170
2023-04-07,84
2023-04-08,78
2023-04-09,93
2023-04-10,142
2023-04-11,189
2023-04-12,184
2023-04-13,140
2023-04-14,139
2023-04-15,100
2023-04-16,60
2023-04-17,183
2023-04-18,137
2023-04-19,118
2023-04-20,133
2023-04-21,78
2023-04-22,90
2023-04-23,95
2023-04-24,140
2023-04-25,196
2023-04-26,126
2023-04-27,135
2023-04-28,112
2023-04-29,99
2023-04-30,92
2023-05-01,88
2023-05-02,151
2023-05-03,144
2023-05-04,109
2023-05-05,133
2023-05-06,86
2023-05-07,77
2023-05-08,105
2023-05-09,200
2023-05-10,125
2023-05-11,151
2023-05-12,94
2023-05-13,100
2023-05-14,83
2023-05-15,193
2023-05-16,146
2023-05-17,233
2023-05-18,150
2023-05-19,155
2023-05-20,108
2023-05-21,67
2023-05-22,167
2023-05-23,172
2023-05-24,204
2023-05-25,154
2023-05-26,105
2023-05-27,111
2023-05-28,71
2023-05-29,140
2023-05-30,139
2023-05-31,169
2023-06-01,141
2023-06-02,115
2023-06-03,80
2023-06-04,80
2023-06-05,161
2023-06-06,168
2023-06-07,202
2023-06-08,91
2023-06-09,152
2023-06-10,81
2023-06-11,53
2023-06-12,153
2023-06-13,138
2023-06-14,204
2023-06-15,72
2023-06-16,109
2023-06-17,50
2023-06-18,50
2023-06-19,105
2023-06-20,154
2023-06-21,197
2023-06-22,136
2023-06-23,132
2023-06-24,64
2023-06-25,73
2023-06-26,148
2023-06-27,136
2023-06-28,152
2023-06-29,120
2023-06-30,220
2023-07-01,72
2023-07-02,69
2023-07-03,138
2023-07-04,93
2023-07-05,163
2023-07-06,114
2023-07-07,153
2023-07-08,61
2023-07-09,73
2023-07-10,125
2023-07-11,118
2023-07-12,138
2023-07-13,106
2023-07-14,116
2023-07-15,71
2023-07-16,42
2023-07-17,155
2023-07-18,166
2023-07-19,138
2023-07-20,110
2023-07-21,112
2023-07-22,94
2023-07-23,74
2023-07-24,142
2023-07-25,138
2023-07-26,170
2023-07-27,108
2023-07-28,111
2023-07-29,55
2023-07-30,47
2023-07-31,131
2023-08-01,163
2023-08-02,167
2023-08-03,116
2023-08-04,105
2023-08-05,56
2023-08-06,60
2023-08-07,109
2023-08-08,173
2023-08-09,153
2023-08-10,138
2023-08-11,113
2023-08-12,69
2023-08-13,57
2023-08-14,137
2023-08-15,161
2023-08-16,162
2023-08-17,128
2023-08-18,108
2023-08-19,69
2023-08-20,54
2023-08-21,142
2023-08-22,186
2023-08-23,133
2023-08-24,104
2023-08-25,119
2023-08-26,71
2023-08-27,64
2023-08-28,140
2023-08-29,172
2023-08-30,149
2023-08-31,144
2023-09-01,106
2023-09-02,86
2023-09-03,61
2023-09-04,128
2023-09-05,188
2023-09-06,151
2023-09-07,70
2023-09-08,98
2023-09-09,44
2023-09-10,72
2023-09-11,132
2023-09-12,183
2023-09-13,153
2023-09-14,102
2023-09-15,144
2023-09-16,59
2023-09-17,67
2023-09-18,129
2023-09-19,169
2023-09-20,76
2023-09-21,133
2023-09-22,101
2023-09-23,82
2023-09-24,62
2023-09-25,130
2023-09-26,147
2023-09-27,169
2023-09-28,122
2023-09-29,118
2023-09-30,64
2023-10-01,54
2023-10-02,153
2023-10-03,127
2023-10-04,175
2023-10-05,134
2023-10-06,117
2023-10-07,71
2023-10-08,66
2023-10-09,145
2023-10-10,165
2023-10-11,184
2023-10-12,66
2023-10-13,104
2023-10-14,82
2023-10-15,61
2023-10-16,125
2023-10-17,131
2023-10-18,157
2023-10-19,143
2023-10-20,111
2023-10-21,85
2023-10-22,75
2023-10-23,140
2023-10-24,190
2023-10-25,167
2023-10-26,143
2023-10-27,108
2023-10-28,94
2023-10-29,69
2023-10-30,150
2023-10-31,220
2023-11-01,179
2023-11-02,50
2023-11-03,114
2023-11-04,82
2023-11-05,81
2023-11-06,141
2023-11-07,143
2023-11-08,195
2023-11-09,142
2023-11-10,101
2023-11-11,90
2023-11-12,75
2023-11-13,163
2023-11-14,167
2023-11-15,68
2023-11-16,162
2023-11-17,107
2023-11-18,54
2023-11-19,59
2023-11-20,145
2023-11-21,140
2023-11-22,199
2023-11-23,170
2023-11-24,105
2023-11-25,87
2023-11-26,83
2023-11-27,170
2023-11-28,163
2023-11-29,177
2023-11-30,120
2023-12-01,113
2023-12-02,79
2023-12-03,74
2023-12-04,155
2023-12-05,130
2023-12-06,169
2023-12-07,109
2023-12-08,124
2023-12-09,99
2023-12-10,78
2023-12-11,115
2023-12-12,136
2023-12-13,187
2023-12-14,127
2023-12-15,105
2023-12-16,65
2023-12-17,95
2023-12-18,172
2023-12-19,149
2023-12-20,167
2023-12-21,164
2023-12-22,123
2023-12-23,90
2023-12-24,84
2023-12-25,84
2023-12-26,151
2023-12-27,118
2023-12-28,121
2023-12-29,78
2023-12-30,77
2023-12-31,61
